datetime,temp_C,humidity_%,windspeed_kph,precip_mm
2025-04-01 00:00:00,25.0,61.15,11.2,0.0
2025-04-01 01:00:00,25.0,69.35,13.0,0.0
2025-04-01 02:00:00,24.6,71.59,4.6,0.0
2025-04-01 03:00:00,23.0,73.45,5.4,0.0
2025-04-01 04:00:00,22.0,73.28,3.6,0.0
2025-04-01 05:00:00,20.6,82.53,3.3,0.0
2025-04-01 06:00:00,19.0,82.75,5.4,0.0
2025-04-01 07:00:00,18.0,82.63,0.0,0.0
2025-04-01 08:00:00,23.8,60.88,6.3,0.0
2025-04-01 09:00:00,27.0,50.97,5.4,0.0
2025-04-01 10:00:00,32.0,29.47,7.6,0.0
2025-04-01 11:00:00,33.0,25.79,7.6,0.0
2025-04-01 12:00:00,36.0,16.84,13.0,0.0
2025-04-01 13:00:00,37.0,13.89,9.4,0.0
2025-04-01 14:00:00,37.8,22.8,18.4,0.0
2025-04-01 15:00:00,36.0,26.86,24.1,0.0
2025-04-01 16:00:00,35.0,28.39,24.1,0.0
2025-04-01 17:00:00,34.2,32.16,18.4,0.0
2025-04-01 18:00:00,32.0,38.2,22.3,0.0
2025-04-01 19:00:00,29.0,48.34,18.4,0.0
2025-04-01 20:00:00,28.2,51.29,8.6,0.0
2025-04-01 21:00:00,27.0,57.86,3.6,0.0
2025-04-01 22:00:00,26.0,57.62,9.4,0.0
2025-04-01 23:00:00,25.4,65.39,8.6,0.0
2025-04-02 00:00:00,26.0,57.62,5.4,0.0
2025-04-02 01:00:00,25.0,57.38,5.4,0.0
2025-04-02 02:00:00,23.4,64.48,6.0,0.0
2025-04-02 03:00:00,22.0,78.06,7.6,0.0
2025-04-02 04:00:00,20.0,88.27,9.4,0.0
2025-04-02 05:00:00,20.6,82.53,6.0,0.0
2025-04-02 06:00:00,19.0,88.18,9.4,0.0
2025-04-02 07:00:00,19.0,88.18,9.4,0.0
2025-04-02 08:00:00,23.2,70.86,4.6,0.0
2025-04-02 09:00:00,25.0,53.82,7.6,0.0
2025-04-02 10:00:00,30.0,25.27,7.6,0.0
2025-04-02 11:00:00,34.0,17.96,6.3,0.0
2025-04-02 12:00:00,36.0,11.87,7.6,0.0
2025-04-02 13:00:00,38.0,9.91,11.2,0.0
2025-04-02 14:00:00,38.0,9.01,15.8,0.0
2025-04-02 15:00:00,36.0,15.72,22.3,0.0
2025-04-02 16:00:00,36.0,18.04,20.5,0.0
2025-04-02 17:00:00,35.0,16.62,20.8,0.0
2025-04-02 18:00:00,32.0,27.58,22.3,0.0
2025-04-02 19:00:00,29.0,48.34,18.4,0.0
2025-04-02 20:00:00,27.2,67.39,12.2,0.0
2025-04-02 21:00:00,27.0,69.73,9.4,0.0
2025-04-02 22:00:00,26.0,78.63,5.4,0.0
2025-04-02 23:00:00,25.6,83.72,6.3,0.0
2025-04-03 00:00:00,25.0,83.45,3.6,0.0
2025-04-03 01:00:00,24.0,83.33,5.4,0.0
2025-04-03 02:00:00,23.4,84.91,2.2,0.0
2025-04-03 03:00:00,22.0,88.43,7.6,0.0
2025-04-03 04:00:00,21.0,88.35,3.6,0.0
2025-04-03 05:00:00,21.8,89.51,3.6,0.0
2025-04-03 06:00:00,21.0,88.35,3.6,0.0
2025-04-03 07:00:00,20.0,88.27,7.6,0.0
2025-04-03 08:00:00,23.4,88.12,2.2,0.0
2025-04-03 09:00:00,27.0,69.73,5.4,0.0
2025-04-03 10:00:00,31.0,45.9,11.2,0.0
2025-04-03 11:00:00,32.8,36.27,8.6,0.0
2025-04-03 12:00:00,35.0,30.28,14.8,0.0
2025-04-03 13:00:00,35.0,26.6,14.8,0.0
2025-04-03 14:00:00,35.0,32.11,15.8,0.0
