datetime,temp_C,humidity_%,windspeed_kph,precip_mm,pm10,pm2_5,co,no2,so2,o3,aqi_us
01/04/2025 0:00,25,61.15,11.2,0,41.6,15,307,14.1,9.1,61,65
01/04/2025 1:00,25,69.35,13,0,50.5,17.5,672,24.4,11.1,50,65
01/04/2025 2:00,24.6,71.59,4.6,0,61,24.6,1156,38.3,14,36,65
01/04/2025 3:00,23,73.45,5.4,0,56.2,30.9,1416,45.6,17.3,36,66
01/04/2025 4:00,22,73.28,3.6,0,68.2,26.1,1234,40.2,21.5,63,66
01/04/2025 5:00,20.6,82.53,3.3,0,79.6,27,828,28.3,26.2,104,67
01/04/2025 6:00,19,82.75,5.4,0,93.8,30.6,502,18.2,29.7,139,68
01/04/2025 7:00,18,82.63,0,0,102.2,33.8,375,12.6,31.3,163,68
01/04/2025 8:00,23.8,60.88,6.3,0,103.8,34.7,329,8.8,31.7,181,69
01/04/2025 9:00,27,50.97,5.4,0,101.3,34.3,318,7.2,30.8,187,71
01/04/2025 10:00,32,29.47,7.6,0,95.5,33.4,328,8.3,28.2,178,72
01/04/2025 11:00,33,25.79,7.6,0,90.1,32.1,374,11.6,24.4,157,90
01/04/2025 12:00,36,16.84,13,0,65,25.7,454,16.6,21.8,137,116
01/04/2025 13:00,37,13.89,9.4,0,57.5,25.4,613,23.8,19.3,114,132
01/04/2025 14:00,37.8,22.8,18.4,0,50.6,25,808,34,15.9,82,134
01/04/2025 15:00,36,26.86,24.1,0,47,23.6,904,43.9,14,55,122
01/04/2025 16:00,35,28.39,24.1,0,44.9,23.3,810,54.2,15.3,38,99
01/04/2025 17:00,34.2,32.16,18.4,0,48.4,26.5,617,64.1,18.1,27,76
01/04/2025 18:00,32,38.2,22.3,0,58.4,34.2,473,67.9,19.7,22,77
01/04/2025 19:00,29,48.34,18.4,0,48.7,30.5,446,60.4,18.7,27,78
01/04/2025 20:00,28.2,51.29,8.6,0,43.8,25.7,467,46.7,16.5,38,79
01/04/2025 21:00,27,57.86,3.6,0,41.8,24.1,474,36.3,15.1,45,80
01/04/2025 22:00,26,57.62,9.4,0,42.8,24.2,403,32.3,14.9,44,81
01/04/2025 23:00,25.4,65.39,8.6,0,46,25.4,319,31.5,15.3,40,82
02/04/2025 0:00,26,57.62,5.4,0,50.3,30.3,353,39.2,17.2,27,82
02/04/2025 1:00,25,57.38,5.4,0,53.8,32.9,645,45.9,20,20,84
02/04/2025 2:00,23.4,64.48,6,0,61.9,40.7,1056,54.6,24,12,85
02/04/2025 3:00,22,78.06,7.6,0,72.9,56.8,1303,57.4,27.9,20,87
02/04/2025 4:00,20,88.27,9.4,0,61,38,1231,48.9,32,58,89
02/04/2025 5:00,20.6,82.53,6,0,56.2,30.3,995,34.5,35.9,112,90
02/04/2025 6:00,19,88.18,9.4,0,50.8,26.5,777,22.3,37.7,153,90
02/04/2025 7:00,19,88.18,9.4,0,43.9,22.4,625,14.9,35.8,171,90
02/04/2025 8:00,23.2,70.86,4.6,0,37.8,18.9,491,9.9,31.8,177,89
02/04/2025 9:00,25,53.82,7.6,0,34.5,16.9,413,7.5,27.7,175,87
02/04/2025 10:00,30,25.27,7.6,0,32.9,16.4,411,8.2,24.2,167,86
02/04/2025 11:00,34,17.96,6.3,0,31.8,15.9,465,11.6,20.6,152,86
02/04/2025 12:00,36,11.87,7.6,0,20.8,13.6,552,17,19.4,137,114
02/04/2025 13:00,38,9.91,11.2,0,24.7,16.1,702,27.1,18,111,131
02/04/2025 14:00,38,9.01,15.8,0,29.6,19.8,886,40.9,15.9,76,131
02/04/2025 15:00,36,15.72,22.3,0,35,21.9,992,50.2,14.3,50,115
02/04/2025 16:00,36,18.04,20.5,0,39.9,22.8,957,51.3,13.5,41,89
02/04/2025 17:00,35,16.62,20.8,0,45.2,24,844,47.9,13,41,80
02/04/2025 18:00,32,27.58,22.3,0,50.6,25.7,729,43.4,12.5,43,80
02/04/2025 19:00,29,48.34,18.4,0,53.8,26.7,627,37.9,11.6,46,79
02/04/2025 20:00,27.2,67.39,12.2,0,50.8,25.6,523,31.3,10.6,50,79
02/04/2025 21:00,27,69.73,9.4,0,45.6,23.6,445,26.3,10.1,53,79
02/04/2025 22:00,26,78.63,5.4,0,39.9,21.7,377,23.1,10,52,79
02/04/2025 23:00,25.6,83.72,6.3,0,37.7,20.6,335,21.6,10.4,48,79
03/04/2025 0:00,25,83.45,3.6,0,55.2,26.5,391,23.4,12.5,49,78
03/04/2025 1:00,24,83.33,5.4,0,55.9,28.8,660,34.7,15.3,39,78
03/04/2025 2:00,23.4,84.91,2.2,0,64.3,36.9,1027,49.8,19.2,27,78
03/04/2025 3:00,22,88.43,7.6,0,60.8,44.9,1215,56.9,22.5,29,77
03/04/2025 4:00,21,88.35,3.6,0,47.3,31.2,1049,48.6,24.9,59,76
03/04/2025 5:00,21.8,89.51,3.6,0,38.1,25.5,704,32.4,26.7,104,76
03/04/2025 6:00,21,88.35,3.6,0,31.8,21.4,436,19.1,27.2,140,75
03/04/2025 7:00,20,88.27,7.6,0,27.1,17.8,348,12.7,25.8,158,75
03/04/2025 8:00,23.4,88.12,2.2,0,24.7,16,337,9.2,23.2,168,74
03/04/2025 9:00,27,69.73,5.4,0,23,14.4,341,7.7,20.7,169,74
03/04/2025 10:00,31,45.9,11.2,0,23.8,13.9,334,7.6,18.5,161,74
03/04/2025 11:00,32.8,36.27,8.6,0,27.2,14.7,343,9.4,16.4,144,77
03/04/2025 12:00,35,30.28,14.8,0,22.2,12.8,389,13.8,14,120,101
03/04/2025 13:00,35,26.6,14.8,0,25.1,14.9,516,21.8,13.4,102,114
03/04/2025 14:00,35,32.11,15.8,0,28.3,18,681,32.9,12.7,76,114
03/04/2025 15:00,34,36.38,18.4,0,29.9,20.4,774,41.4,12.2,57,100
03/04/2025 16:00,34,38.75,20.5,0,29.2,21.5,734,45.4,12.4,49,79
03/04/2025 17:00,32.2,45.74,14.8,0,27.5,21.6,621,46.8,12.9,47,73
03/04/2025 18:00,31,45.9,22.3,0,26,21.7,509,45.5,13,48,73
03/04/2025 19:00,29,58.34,16.6,0,24,20.8,414,40,12.1,53,72
03/04/2025 20:00,28.2,67.58,7.6,0,20.7,18,321,31.9,10.8,60,72
03/04/2025 21:00,27,69.73,9.4,0,17.6,15.4,252,25.1,9.9,66,71
03/04/2025 22:00,27,74.13,11.2,0,16,14,184,20.4,9.5,69,71
03/04/2025 23:00,26.2,79.24,6,0,15.7,13.5,140,17,9.5,70,70
04/04/2025 0:00,25,78.49,7.6,0,17.8,12,219,14.7,9.1,72,69
04/04/2025 1:00,25,73.79,11.2,0,18.3,13,536,24.5,10.9,61,68
04/04/2025 2:00,25.4,69.09,9.7,0,24,18.8,975,37.5,13.4,48,67
04/04/2025 3:00,25,69.35,9.4,0,28,23.9,1288,44.6,16,48,65
04/04/2025 4:00,24,64.92,5.4,0,27.9,21.5,1367,40.1,18.5,72,63
04/04/2025 5:00,23.4,74.08,3.3,0,33.4,20.4,1320,29.5,21.2,110,62
04/04/2025 6:00,21,77.91,11.2,0,46.3,22.9,1221,20.4,23.5,145,62
04/04/2025 7:00,21,77.91,7.6,0,55.3,25,1068,14.9,26,175,62
04/04/2025 8:00,24.6,71.59,4.7,0,56.5,25.5,864,10.8,28.3,202,63
04/04/2025 9:00,29,28.65,9.4,0,50.1,24.2,691,9.1,28.5,213,63
04/04/2025 10:00,33,21.31,9.4,0,42.5,22.5,577,10.4,25.1,198,82
04/04/2025 11:00,35,18.7,14.8,0,36.8,19.2,496,14,19.8,167,114
04/04/2025 12:00,37,14.89,13,0,31.3,19.7,448,19,19.9,151,139
04/04/2025 13:00,38,14.1,9.4,0,28.2,19,446,25.7,17.7,122,154
04/04/2025 14:00,38.4,16.97,8.6,0,25.1,18.9,477,34.8,14.6,83,156
04/04/2025 15:00,37,25.43,14.8,0,22,17.1,509,40.6,12.2,54,145
04/04/2025 16:00,36,28.66,16.6,0,20.9,16.2,542,40.2,11.4,46,120
04/04/2025 17:00,35,32.11,18.4,0,20.2,15.8,576,36.5,11.4,48,86
04/04/2025 18:00,33,33.86,14.8,0,19.5,15.8,575,32,11.1,52,65
04/04/2025 19:00,31,43.09,16.6,0,17.9,15,512,26.9,10.1,56,65
04/04/2025 20:00,29.2,50,11.9,0,15.3,13.1,414,21,8.8,61,64
04/04/2025 21:00,28,51.23,5.4,0,12.8,11,329,16.2,7.9,66,64
04/04/2025 22:00,28,42.27,5.4,0,10.7,9.2,254,12.2,7.4,70,63
04/04/2025 23:00,27.4,53.44,4.7,0,9.4,8,192,9.3,7.1,73,63
05/04/2025 0:00,27,50.97,7.6,0,11.3,8.3,205,9.9,7.6,72,62
05/04/2025 1:00,26,50.71,7.6,0,10.9,8.8,373,16.8,8.9,66,62
05/04/2025 2:00,26.4,55,7.6,0,13.8,11.9,616,26,10.7,58,62
05/04/2025 3:00,26,47.54,7.6,0,17.1,15.5,750,30.9,12.5,59,61
05/04/2025 4:00,26,47.54,7.6,0,16.8,14.7,664,27.5,14.4,78,60
