datetime,aqi_us_lag1,aqi_us_lag12,aqi_us_lag24,pm2_5,log_pm10,scaled_humidity_%,scaled_temp_C_scaled_log_windspeed_kph,log_so2,day_of_week,scaled_temp_C,scaled_temp_C_scaled_o3,log_no2,aqi_us
2025-04-01 00:00:00,65.0,60.0,70.0,15.0,3.751854253,-0.124345136,1.113658969,2.312535424,1,-1.882173746,0.967644168,2.714694744,65
2025-04-01 01:00:00,65.0,61.0,69.0,17.5,3.941581808,0.335625074,0.599597569,2.493205453,1,-1.882173746,1.617047287,3.234749174,65
2025-04-01 02:00:00,65.0,61.0,68.0,24.6,4.127134385,0.461275473,4.291524686,2.708050201,1,-2.008179907,2.607149739,3.671224519,65
2025-04-01 03:00:00,65.0,61.0,66.0,30.9,4.046553898,0.56561018,4.702891683,2.90690106,1,-2.512204547,3.261507302,3.841600541,66
2025-04-01 04:00:00,66.0,62.0,65.0,26.1,4.237000863,0.556074212,7.145544056,3.113515309,1,-2.827219948,1.276143461,3.718438256,66
2025-04-01 05:00:00,66.0,85.0,64.0,27.0,4.38949865,1.074943047,8.697617145,3.303216973,1,-3.268241508,-2.727794967,3.377587516,67
2025-04-01 06:00:00,67.0,107.0,64.0,30.6,4.551769409,1.087283711,7.061749458,3.424262655,1,-3.772266149,-7.289731077,2.954910279,68
2025-04-01 07:00:00,68.0,119.0,63.0,33.8,4.636668853,1.08055244,22.70892085,3.47506723,1,-4.08728155,-10.97534412,2.610069793,68
2025-04-01 08:00:00,68.0,119.0,62.0,34.7,4.652053772,-0.139490497,3.64092908,3.487375078,1,-2.260192227,-7.345251069,2.282382386,69
2025-04-01 09:00:00,69.0,106.0,62.0,34.3,4.627909673,-0.695381325,2.344033909,3.45946629,1,-1.252142945,-4.304907392,2.104134154,71
2025-04-01 10:00:00,71.0,84.0,61.0,33.4,4.569543008,-1.90140078,-0.415178366,3.374168709,1,0.322934057,1.019094648,2.2300144,72
2025-04-01 11:00:00,72.0,65.0,60.0,32.1,4.511957804,-2.107826436,-0.820176156,3.234749174,1,0.637949457,1.592988985,2.533696814,90
2025-04-01 12:00:00,90.0,65.0,61.0,25.7,4.189654742,-2.609867093,-0.504289443,3.126760536,1,1.582995659,2.959761273,2.867898902,116
2025-04-01 13:00:00,116.0,65.0,61.0,25.4,4.069026754,-2.775344181,-1.724318393,3.010620886,1,1.898011059,2.179484106,3.210843653,132
2025-04-01 14:00:00,132.0,65.0,61.0,25.0,3.943521672,-2.275547281,0.707004743,2.827313622,1,2.150023379,0.310851232,3.555348061,134
2025-04-01 15:00:00,134.0,66.0,62.0,23.6,3.871201011,-2.047805933,1.329802144,2.708050201,1,1.582995659,-1.111749146,3.804437795,122
2025-04-01 16:00:00,122.0,66.0,85.0,23.3,3.826465117,-1.961982223,1.065172135,2.791165108,1,1.267980258,-1.566630966,4.010962953,99
2025-04-01 17:00:00,99.0,67.0,107.0,26.5,3.899950424,-1.750508113,0.33408667,2.949688335,1,1.015967938,-1.605799168,4.175924549,76
2025-04-01 18:00:00,76.0,68.0,119.0,34.2,4.084294226,-1.411700787,0.223590639,3.0301337,1,0.322934057,-0.561063013,4.232656178,77
2025-04-01 19:00:00,77.0,68.0,119.0,30.5,3.906004933,-0.842908356,-0.204572769,2.980618636,1,-0.622112145,0.983286113,4.117409835,78
2025-04-01 20:00:00,78.0,69.0,106.0,25.7,3.802208139,-0.677431268,0.932986651,2.862200881,1,-0.874124465,1.080009288,3.864931398,79
2025-04-01 21:00:00,79.0,71.0,84.0,24.1,3.756538103,-0.30889416,3.164678641,2.778819272,1,-1.252142945,1.272138645,3.618993327,80
2025-04-01 22:00:00,80.0,72.0,65.0,24.2,3.779633817,-0.322356703,1.423743001,2.766319109,1,-1.567158346,1.641340394,3.505557397,81
2025-04-01 23:00:00,81.0,90.0,65.0,25.4,3.850147602,0.113493119,1.874425188,2.791165108,1,-1.756167586,2.059633708,3.481240089,82
2025-04-02 00:00:00,82.0,116.0,65.0,30.3,3.937690752,-0.322356703,2.933748352,2.901421594,2,-1.567158346,2.476989159,3.693866996,82
2025-04-02 01:00:00,82.0,132.0,65.0,32.9,4.003690194,-0.335819246,3.523462796,3.044522438,2,-1.882173746,3.388146705,3.848017675,84
2025-04-02 02:00:00,84.0,134.0,65.0,40.7,4.141546164,0.062447644,4.042637671,3.218875825,2,-2.386198387,4.894221608,4.018183201,85
2025-04-02 03:00:00,85.0,122.0,66.0,56.8,4.302712828,0.824203188,3.634799531,3.363841595,2,-2.827219948,5.089347341,4.06731589,87
2025-04-02 04:00:00,87.0,99.0,66.0,38.0,4.127134385,1.396922195,3.140867397,3.496507561,2,-3.457250749,2.102729361,3.910021003,89
2025-04-02 05:00:00,89.0,76.0,67.0,30.3,4.046553898,1.074943047,5.536973083,3.608211551,2,-3.268241508,-3.547893626,3.569532696,90
2025-04-02 06:00:00,90.0,77.0,68.0,26.5,3.947390149,1.391873741,3.427054797,3.6558396,2,-3.772266149,-8.946234492,3.148453361,90
2025-04-02 07:00:00,90.0,78.0,68.0,22.4,3.804437795,1.391873741,3.427054797,3.605497845,2,-3.772266149,-11.0760246,2.766319109,90
2025-04-02 08:00:00,90.0,79.0,69.0,18.9,3.658420247,0.420326906,5.233997473,3.490428515,2,-2.449201467,-7.65221123,2.388762789,89
2025-04-02 09:00:00,89.0,80.0,71.0,16.9,3.569532696,-0.53551363,2.419806162,3.356897123,2,-1.882173746,-5.762533619,2.140066163,87
2025-04-02 10:00:00,87.0,81.0,72.0,16.4,3.523415014,-2.136995278,0.394817213,3.226843995,2,-0.307096744,-0.863159216,2.219203484,86
2025-04-02 11:00:00,86.0,82.0,90.0,15.9,3.490428515,-2.547041893,-1.535124942,3.072693315,2,0.952964858,2.230142402,2.533696814,86
2025-04-02 12:00:00,86.0,82.0,116.0,13.6,3.08190997,-2.888653916,-2.035169525,3.015534901,2,1.582995659,2.959761273,2.890371758,114
