datetime,temp_C,humidity_%,windspeed_kph,precip_mm,pm10,pm2_5,co,no2,so2,o3,log_co,log_pm2_5,log_pm10,log_precip_mm,log_so2,log_no2,scaled_temp_C,scaled_humidity_%,scaled_windspeed_kph,scaled_log_pm2_5,scaled_log_pm10,scaled_log_precip_mm,scaled_log_co,scaled_log_no2,scaled_log_so2,scaled_o3,aqi_us,aqi_us_lag1,aqi_us_lag24,hour_sin,hour_cos,aqi_us_lag12,hour,day_of_week,is_weekend,log_pm2_5_scaled_windspeed_kph,scaled_temp_C_scaled_o3,scaled_temp_C_scaled_windspeed_kph
01/04/2025 00:00,25.0,61.15,11.2,0.0,41.6,15.0,307.0,14.1,9.1,61.0,5.730099783,2.772588722,3.751854253,0.0,2.312535424,2.714694744,-1.882173746,-0.124345136,-0.733115696,-1.16877593,-0.430848866,-0.109221172,0.158821414,0.381042243,-0.724828273,-0.514109906,65,65.0,70.0,0.0,1.0,60.0,0,1,0,-2.032628311,0.967644168,1.379851116
01/04/2025 01:00,25.0,69.35,13.0,0.0,50.5,17.5,672.0,24.4,11.1,50.0,6.51174533,2.917770732,3.941581808,0.0,2.493205453,3.234749174,-1.882173746,0.335625074,-0.515673344,-0.756072452,-0.104795469,-0.109221172,2.016394087,1.22449039,-0.184709132,-0.859138159,65,65.0,69.0,0.258819045,0.965925826,61.0,1,1,0,-1.50461659,1.617047287,0.97058683
01/04/2025 02:00,24.6,71.59,4.6,0.0,61.0,24.6,1156.0,38.3,14.0,36.0,7.053585727,3.242592351,4.127134385,0.0,2.708050201,3.671224519,-2.008179907,0.461275473,-1.530404321,0.167285835,0.214083084,-0.109221172,3.304072268,1.93238614,0.457576486,-1.298265026,65,65.0,68.0,0.5,0.866025404,61.0,2,1,0,-4.962477345,2.607149739,3.073327207
01/04/2025 03:00,23.0,73.45,5.4,0.0,56.2,30.9,1416.0,45.6,17.3,36.0,7.25629724,3.46260601,4.046553898,0.0,2.90690106,3.841600541,-2.512204547,0.56561018,-1.433763276,0.792710446,0.075602717,-0.109221172,3.785814111,2.208709793,1.052047831,-1.298265026,66,65.0,66.0,0.707106781,0.707106781,61.0,3,1,0,-4.964557336,3.261507302,3.601906621
01/04/2025 04:00,22.0,73.28,3.6,0.0,68.2,26.1,1234.0,40.2,21.5,63.0,7.118826249,3.299533728,4.237000863,0.0,3.113515309,3.718438256,-2.827219948,0.556074212,-1.651205628,0.32915096,0.402892445,-0.109221172,3.459115703,2.008959546,1.669728093,-0.451377496,66,66.0,65.0,0.866025404,0.5,62.0,4,1,0,-5.448208661,1.276143461,4.66832149
01/04/2025 05:00,20.6,82.53,3.3,0.0,79.6,27.0,828.0,28.3,26.2,104.0,6.720220155,3.33220451,4.38949865,0.0,3.303216973,3.377587516,-3.268241508,1.074943047,-1.68744602,0.422022972,0.664965192,-0.109221172,2.511832384,1.45615217,2.236847613,0.834636902,67,66.0,64.0,0.965925826,0.258819045,85.0,5,1,0,-5.622915238,-2.727794967,5.514981125
01/04/2025 06:00,19.0,82.75,5.4,0.0,93.8,30.6,502.0,18.2,29.7,139.0,6.22059017,3.453157121,4.551769409,0.0,3.424262655,2.954910279,-3.772266149,1.087283711,-1.433763276,0.765850441,0.943833133,-0.109221172,1.324466819,0.770634825,2.598717757,1.932454071,68,67.0,64.0,1.0,6.12e-17,107.0,6,1,0,-4.951009866,-7.289731077,5.408536672
01/04/2025 07:00,18.0,82.63,0.0,0.0,102.2,33.8,375.0,12.6,31.3,163.0,5.929589143,3.549617387,4.636668853,0.0,3.47506723,2.610069793,-4.08728155,1.08055244,-2.086090333,1.040054438,1.089735778,-0.109221172,0.632905845,0.211356695,2.750599748,2.685242987,68,68.0,63.0,0.965925826,-0.258819045,119.0,7,1,0,-7.404822517,-10.97534412,8.52643853
01/04/2025 08:00,23.8,60.88,6.3,0.0,103.8,34.7,329.0,8.8,31.7,181.0,5.799092654,3.575150689,4.652053772,0.0,3.487375078,2.282382386,-2.260192227,-0.139490497,-1.3250421,1.112637002,1.116175296,-0.109221172,0.32278227,-0.320101784,2.787394474,3.249834674,69,68.0,62.0,0.866025404,-0.5,119.0,8,1,0,-4.737225177,-7.345251069,2.994849855
01/04/2025 09:00,27.0,50.97,5.4,0.0,101.3,34.3,318.0,7.2,30.8,187.0,5.765191103,3.563882964,4.627909673,0.0,3.45946629,2.104134154,-1.252142945,-0.695381325,-1.433763276,1.080606661,1.074682823,-0.109221172,0.242215578,-0.609192948,2.703960211,3.438031903,71,69.0,62.0,0.707106781,-0.707106781,106.0,9,1,0,-5.109764514,-4.304907392,1.795276571
