datetime,temp_C,humidity_%,windspeed_kph,precip_mm,pm10,pm2_5,co,no2,so2,o3,aqi_us
2025-01-04 05:00:00+05:00,25.0,61.15,11.2,0.0,41.6,15.0,307.0,14.1,9.1,61.0,65
2025-01-04 06:00:00+05:00,25.0,69.35,13.0,0.0,50.5,17.5,672.0,24.4,11.1,50.0,65
2025-01-04 07:00:00+05:00,24.6,71.59,4.6,0.0,61.0,24.6,1156.0,38.3,14.0,36.0,65
2025-01-04 08:00:00+05:00,23.0,73.45,5.4,0.0,56.2,30.9,1416.0,45.6,17.3,36.0,66
2025-01-04 09:00:00+05:00,22.0,73.28,3.6,0.0,68.2,26.1,1234.0,40.2,21.5,63.0,66
2025-01-04 10:00:00+05:00,20.6,82.53,3.3,0.0,79.6,27.0,828.0,28.3,26.2,104.0,67
2025-01-04 11:00:00+05:00,19.0,82.75,5.4,0.0,93.8,30.6,502.0,18.2,29.7,139.0,68
2025-01-04 12:00:00+05:00,18.0,82.63,0.0,0.0,102.2,33.8,375.0,12.6,31.3,163.0,68
2025-01-04 13:00:00+05:00,23.8,60.88,6.3,0.0,103.8,34.7,329.0,8.8,31.7,181.0,69
2025-01-04 14:00:00+05:00,27.0,50.97,5.4,0.0,101.3,34.3,318.0,7.2,30.8,187.0,71
2025-01-04 15:00:00+05:00,32.0,29.47,7.6,0.0,95.5,33.4,328.0,8.3,28.2,178.0,72
2025-01-04 16:00:00+05:00,33.0,25.79,7.6,0.0,90.1,32.1,374.0,11.6,24.4,157.0,90
2025-01-04 17:00:00+05:00,36.0,16.84,13.0,0.0,65.0,25.7,454.0,16.6,21.8,137.0,116
2025-01-04 18:00:00+05:00,37.0,13.89,9.4,0.0,57.5,25.4,613.0,23.8,19.3,114.0,132
2025-01-04 19:00:00+05:00,37.8,22.8,18.4,0.0,50.6,25.0,808.0,34.0,15.9,82.0,134
2025-01-04 20:00:00+05:00,36.0,26.86,24.1,0.0,47.0,23.6,904.0,43.9,14.0,55.0,122
2025-01-04 21:00:00+05:00,35.0,28.39,24.1,0.0,44.9,23.3,810.0,54.2,15.3,38.0,99
2025-01-04 22:00:00+05:00,34.2,32.16,18.4,0.0,48.4,26.5,617.0,64.1,18.1,27.0,76
2025-01-04 23:00:00+05:00,32.0,38.2,22.3,0.0,58.4,34.2,473.0,67.9,19.7,22.0,77
2025-01-05 00:00:00+05:00,29.0,48.34,18.4,0.0,48.7,30.5,446.0,60.4,18.7,27.0,78
2025-01-05 01:00:00+05:00,28.2,51.29,8.6,0.0,43.8,25.7,467.0,46.7,16.5,38.0,79
2025-01-05 02:00:00+05:00,27.0,57.86,3.6,0.0,41.8,24.1,474.0,36.3,15.1,45.0,80
2025-01-05 03:00:00+05:00,26.0,57.62,9.4,0.0,42.8,24.2,403.0,32.3,14.9,44.0,81
